Gene1        Gene2        Direction    Correlation  Distant?     Distance     
BHLHE41      PAX8         0            0.7529       1            -1           
BHLHE41      TFCP2L1      -1           0.9336       1            -1           
BHLHE41      CLOCK        0            -0.86547     1            -1           
BHLHE41      TLX2         -1           -0.87636     1            -1           
BHLHE41      DLX5         0            -0.87433     1            -1           
BHLHE41      MECP2        0            -0.88635     1            -1           
BHLHE41      HES1         -1           0.78594      1            -1           
BHLHE41      HOXA5        0            -0.76842     1            -1           
BHLHE41      OTX1         0            -0.96096     1            -1           
BHLHE41      DMRT1        0            -0.88053     1            -1           
BHLHE41      LHX8         1            -0.75372     1            -1           
BHLHE41      TBX18        1            0.85608      1            -1           
BHLHE41      ELF4         0            -0.85317     1            -1           
BHLHE41      ELK3         0            0.86782      1            70310203     
BHLHE41      EN1          0            -0.90642     1            -1           
BHLHE41      GATA3        0            -0.83248     1            -1           
BHLHE41      GATA6        1            0.78058      1            -1           
BHLHE41      ONECUT1      0            -0.79679     1            -1           
BHLHE41      ZIC3         0            -0.94489     1            -1           
BHLHE41      FOXF1        0            0.84035      1            -1           
BHLHE41      GTF2A1       0            -0.77029     1            -1           
BHLHE41      NKX6-2       0            0.81287      1            -1           
BHLHE41      MEF2C        0            -0.93717     1            -1           
BHLHE41      FOXO4        0            -0.87106     1            -1           
BHLHE41      NKX3-2       0            -0.87987     1            -1           
BHLHE41      GBX2         -1           -0.85088     1            -1           
BHLHE41      HBP1         1            -0.9308      1            -1           
BHLHE41      HOXA3        0            -0.76129     1            -1           
BHLHE41      HOXA4        0            -0.76972     1            -1           
BHLHE41      HOXA7        0            -0.7589      1            -1           
BHLHE41      HOXD13       0            -0.83691     1            -1           
BHLHE41      HOXD3        0            -0.76772     1            -1           
BHLHE41      HOXD9        0            -0.83372     1            -1           
BHLHE41      ISL1         1            -0.93921     1            -1           
BHLHE41      MSX1         -1           0.77112      1            -1           
BHLHE41      KLF12        1            -0.92844     1            -1           
BHLHE41      NFIL3        1            0.85741      1            -1           
BHLHE41      NR4A2        0            -0.79439     1            -1           
BHLHE41      OTP          0            -0.77546     1            -1           
BHLHE41      SATB1        1            -0.82419     1            -1           
BHLHE41      RORB         1            -0.77939     1            -1           
BHLHE41      HOXA2        0            -0.75646     1            -1           
BHLHE41      VAX2         -1           -0.83484     1            -1           
BHLHE41      ZIC1         0            -0.97402     1            -1           
CREB1        IRF8         0            -0.92645     1            -1           
CREB1        REST         1            0.94203      1            -1           
CREB1        NFKB1        1            0.75636      1            -1           
CREB1        FOXG1        1            0.76455      1            -1           
CREB1        KLF15        0            -0.8888      1            -1           
CREB1        HAND2        1            0.82837      1            -1           
CREB1        MITF         1            -0.84115     1            -1           
CREB1        MYC          0            0.77492      1            -1           
CREB1        PBX1         1            0.84148      1            -1           
CREB1        TFF3         0            -0.90273     1            -1           
CREB1        ARNT         -1           0.85471      1            -1           
CREB1        NR5A2        1            0.75612      1            -1           
CREB1        MEIS2        1            0.76409      1            -1           
CREB1        RORA         -1           0.86452      1            -1           
CREB1        MYB          1            0.82983      1            -1           
CREB1        STAT1        0            0.87111      1            16515639     
CREB1        NFATC3       -1           0.78118      1            -1           
CREB1        E2F7         1            0.87862      1            -1           
CREB1        TBP          1            -0.82358     1            -1           
CREB1        EBF3         1            -0.7629      1            -1           
CREB1        FOXD1        1            0.77669      1            -1           
CREB1        ATF7         -1           0.79576      1            -1           
CREB1        MAFB         1            -0.79586     1            -1           
CREB1        NFE2L2       0            0.89823      1            30264756     
CREB1        BARX1        0            -0.79608     1            -1           
CREB1        BARX2        0            -0.76189     1            -1           
CREB1        ESR2         -1           0.77436      1            -1           
CREB1        BPTF         -1           0.90478      1            -1           
CREB1        STAT4        0            0.78067      1            16378629     
CREB1        MTERF        0            -0.81081     1            -1           
CREB1        CDC5L        -1           0.82393      1            -1           
CREB1        SOX6         0            -0.93883     1            -1           
CREB1        SOX9         0            -0.86263     1            -1           
CREB1        EMX2         1            -0.95927     1            -1           
CREB1        EOMES        1            0.88036      1            -1           
CREB1        ZNF589       -1           0.78179      1            -1           
CREB1        CLOCK        1            0.76827      1            -1           
CREB1        HIVEP2       1            0.97795      1            -1           
CREB1        MECP2        0            0.78244      1            -1           
CREB1        EP300        -1           0.75265      1            -1           
CREB1        HES1         0            -0.78652     1            -1           
CREB1        LEF1         0            -0.88225     1            -1           
CREB1        ESRRB        0            -0.77186     1            -1           
CREB1        TBX15        1            -0.96192     1            -1           
CREB1        ELF5         0            -0.82575     1            -1           
CREB1        ONECUT1      1            0.83499      1            -1           
CREB1        FOXF2        1            -0.8855      1            -1           
CREB1        MSX2         1            -0.89537     1            -1           
CREB1        HOXC13       0            -0.9087      1            -1           
CREB1        IRX2         1            -0.76321     1            -1           
CREB1        MSX1         0            -0.81192     1            -1           
CREB1        POU3F4       1            0.88543      1            -1           
CREB1        SHOX2        1            0.85582      1            -1           
CREB1        ZNF354C      0            -0.77277     1            -1           
CREB5        EGR2         1            -0.87757     1            -1           
CREB5        EGR4         0            0.78069      1            -1           
CREB5        SP2          -1           0.77646      1            -1           
CREB5        CRX          -1           0.774        1            -1           
CREB5        IRF2         0            0.75477      1            -1           
CREB5        NKX2-1       1            0.75403      1            -1           
CREB5        PRDM1        0            0.82658      1            -1           
CREB5        CEBPZ        -1           0.87055      1            -1           
CREB5        NFKB1        1            0.84543      1            -1           
CREB5        HAND2        1            0.78453      1            -1           
CREB5        MYC          0            0.77925      1            -1           
CREB5        MYF5         1            0.764        1            -1           
CREB5        MYF6         1            0.76222      1            -1           
CREB5        USF1         -1           0.7907       1            -1           
CREB5        ZFX          -1           0.77978      1            -1           
CREB5        NR1I3        -1           0.83382      1            -1           
CREB5        NR5A2        1            0.91831      1            -1           
CREB5        PITX2        1            0.77494      1            -1           
CREB5        YY1          -1           0.80952      1            -1           
CREB5        ARNT2        1            -0.75433     1            -1           
CREB5        MEIS2        1            0.87492      1            -1           
CREB5        PKNOX2       -1           -0.89746     1            -1           
CREB5        TGIF1        -1           0.86998      1            -1           
CREB5        TGIF2        -1           0.82126      1            -1           
CREB5        MYB          1            0.83315      1            -1           
CREB5        PAX4         0            0.81658      1            98803637     
CREB5        ELF2         -1           0.84137      1            -1           
CREB5        NFATC1       1            -0.85069     1            -1           
CREB5        FOSL2        0            -0.81811     1            -1           
CREB5        E2F7         1            0.84672      1            -1           
CREB5        E2F8         1            -0.75458     1            -1           
CREB5        FOXD1        0            0.85067      1            -1           
CREB5        ZNF350       1            0.79061      1            -1           
CREB5        ATF7         -1           0.88126      1            -1           
CREB5        LTF          0            0.81213      1            -1           
CREB5        ESR2         -1           0.78561      1            -1           
CREB5        BPTF         -1           0.87831      1            -1           
CREB5        CDX2         0            0.78269      1            -1           
CREB5        ELK4         -1           0.7822       1            -1           
CREB5        NANOG        0            0.82388      1            -1           
CREB5        DMBX1        -1           0.89006      1            -1           
CREB5        IRF9         -1           0.82575      1            -1           
CREB5        BRCA1        -1           0.85867      1            -1           
CREB5        RFX2         -1           -0.91114     1            -1           
CREB5        RFXANK       -1           0.75665      1            -1           
CREB5        CBFB         -1           0.81509      1            -1           
CREB5        CDC5L        -1           0.80743      1            -1           
CREB5        GCM2         -1           0.90202      1            -1           
CREB5        SOX8         0            -0.91599     1            -1           
CREB5        XBP1         -1           0.79011      1            -1           
CREB5        PAX8         0            -0.88501     1            -1           
CREB5        ZNF589       -1           0.85906      1            -1           
CREB5        CHURC1       -1           0.78313      1            -1           
CREB5        REL          -1           0.80849      1            -1           
CREB5        HES1         -1           -0.89161     1            -1           
CREB5        NR2E3        0            -0.77658     1            -1           
CREB5        DDIT3        -1           0.76428      1            -1           
CREB5        GLI1         -1           0.80675      1            -1           
CREB5        DMRT1        1            0.7513       1            -1           
CREB5        HOMEZ        -1           0.81407      1            -1           
CREB5        ELF3         -1           0.9161       1            -1           
CREB5        TCF7         -1           0.76861      1            -1           
CREB5        LHX4         -1           0.96284      1            -1           
CREB5        MNX1         0            0.79852      1            128351204    
CREB5        GATA3        1            0.83761      1            -1           
CREB5        ETV4         -1           0.77039      1            -1           
CREB5        ONECUT1      1            0.83848      1            -1           
CREB5        FOXJ2        -1           0.84828      1            -1           
CREB5        SIX4         0            0.77479      1            -1           
CREB5        MECOM        0            -0.89751     1            -1           
CREB5        POU6F1       -1           0.84776      1            -1           
CREB5        RBPJ         0            0.83307      1            -1           
CREB5        HOXB13       -1           0.82184      1            -1           
CREB5        IRX3         0            -0.91691     1            -1           
CREB5        IRX5         1            -0.75188     1            -1           
CREB5        IRX6         1            -0.78011     1            -1           
CREB5        KLF12        1            0.77578      1            -1           
CREB5        NR4A2        1            0.80194      1            -1           
CREB5        SHOX2        1            0.86786      1            -1           
CREB5        SIX1         0            0.83425      1            -1           
CREB5        SIX3         0            0.77041      1            -1           
CREB5        UBP1         -1           0.8061       1            -1           
EGR1         KLF4         1            -0.87475     1            -1           
EGR1         PATZ1        0            0.78777      1            -1           
EGR1         SP2          -1           0.79685      1            -1           
EGR1         ZBTB7B       -1           0.83982      1            -1           
EGR1         IRF5         -1           0.75108      1            -1           
EGR1         IRF8         0            -0.82236     1            -1           
EGR1         REST         1            0.76594      1            -1           
EGR1         SPI1         0            0.80123      1            -1           
EGR1         CTF1         0            0.86584      1            -1           
EGR1         GTF2I        0            0.82773      1            -1           
EGR1         PAX2         0            -0.88795     1            -1           
EGR1         FOXG1        1            0.77819      1            -1           
EGR1         STAT3        -1           0.94186      1            -1           
EGR1         HAND2        1            0.7517       1            -1           
EGR1         MXD3         -1           0.76621      1            38938112     
EGR1         MXI1         0            0.75697      1            -1           
EGR1         PBX1         1            0.84533      1            -1           
EGR1         TCF12        1            0.84344      1            -1           
EGR1         TCF3         1            0.86166      1            -1           
EGR1         TFF3         1            -0.8724      1            -1           
EGR1         HNF1A        0            -0.83427     1            -1           
EGR1         NR1H3        0            0.83152      1            -1           
EGR1         ARNT2        1            -0.8274      1            -1           
EGR1         ZBTB7A       1            0.76172      1            -1           
EGR1         RORA         0            0.90835      1            -1           
EGR1         CEBPD        1            0.83341      1            -1           
EGR1         PAX4         1            0.75992      1            -1           
EGR1         RARA         0            0.90455      1            -1           
EGR1         RARG         0            0.76008      1            -1           
EGR1         RXRG         1            -0.77836     1            -1           
EGR1         FOSB         0            0.79113      1            -1           
EGR1         HSF1         1            0.7871       1            -1           
EGR1         HNF4G        1            0.89236      1            -1           
EGR1         RFX1         0            0.82802      1            -1           
EGR1         MAF          1            -0.87606     1            -1           
EGR1         MAFF         0            0.80562      1            -1           
EGR1         MAFG         1            0.86119      1            -1           
EGR1         NFE2         1            0.98254      1            -1           
EGR1         NR4A1        0            0.85116      1            -1           
EGR1         BARX1        1            -0.81942     1            -1           
EGR1         FOXL1        0            -0.75066     1            -1           
EGR1         STAT5A       -1           0.96798      1            -1           
EGR1         ELK4         0            0.79975      1            -1           
EGR1         ERF          0            0.8978       1            -1           
EGR1         MTERF        1            -0.80305     1            -1           
EGR1         RFX5         0            0.89774      1            -1           
EGR1         GTF2IRD1     0            0.92235      1            -1           
EGR1         SOX10        0            0.77752      1            -1           
EGR1         SOX18        1            0.75711      1            -1           
EGR1         SOX6         1            -0.81996     1            -1           
EGR1         SOX9         1            -0.82432     1            -1           
EGR1         TP53         0            0.83161      1            -1           
EGR1         TFCP2L1      1            -0.75587     1            -1           
EGR1         STAT2        0            0.78334      1            -1           
EGR1         STAT6        0            0.83186      1            -1           
EGR1         CLOCK        1            0.88272      1            -1           
EGR1         LEF1         1            -0.75149     1            -1           
EGR1         ELF5         1            -0.80957     1            -1           
EGR1         GATA6        1            -0.94298     1            -1           
EGR1         FOXF2        1            -0.83459     1            -1           
EGR1         NKX6-2       1            -0.76704     1            -1           
EGR1         LMX1A        1            -0.79086     1            -1           
EGR1         POU6F1       1            0.75078      1            -1           
EGR1         MEF2D        -1           0.83002      1            -1           
EGR1         MSX2         1            -0.76017     1            36350394     
EGR1         ING4         0            0.75652      1            -1           
EGR1         ZNF384       0            0.81754      1            -1           
EGR1         SATB1        1            0.89662      1            -1           
EGR1         RORB         1            0.85248      1            -1           
EGR1         LHX3         1            0.89496      1            -1           
EGR1         ZNF354C      1            -0.89751     1            40686426     
EGR2         EGR4         -1           -0.75069     1            -1           
EGR2         SP2          -1           -0.81824     1            -1           
EGR2         ZFP42        0            -0.7576      1            -1           
EGR2         ZNF219       -1           -0.81578     1            -1           
EGR2         IRF5         -1           -0.89741     1            -1           
EGR2         NKX2-1       0            -0.81651     1            -1           
EGR2         PRDM1        -1           -0.93369     1            -1           
EGR2         TFAP2A       -1           -0.80904     1            -1           
EGR2         CEBPZ        -1           -0.8667      1            -1           
EGR2         NFIX         -1           -0.8412      1            -1           
EGR2         NFKB1        0            -0.80616     1            -1           
EGR2         VDR          -1           -0.7737      1            -1           
EGR2         FOXO1        -1           -0.77208     1            -1           
EGR2         CTCF         -1           -0.84028     1            -1           
EGR2         HAND2        0            -0.91092     1            -1           
EGR2         MAD1L1       -1           0.76203      1            -1           
EGR2         MXD3         -1           -0.85627     1            -1           
EGR2         MYC          0            -0.85988     1            -1           
