number of genes: 16598
number of nodes: 533
Overlap: 482
50, 5, 0.0 - C: 67, E: 25, O: 390
50, 5, 1.0 - C: 73, E: 22, O: 387
50, 5, 2.0 - C: 80, E: 23, O: 379
50, 6, -2.0 - C: 53, E: 24, O: 405
50, 6, -1.0 - C: 58, E: 26, O: 398
50, 6, 0.0 - C: 65, E: 25, O: 392
50, 6, 1.0 - C: 71, E: 22, O: 389
50, 6, 2.0 - C: 78, E: 23, O: 381
50, 7, -2.0 - C: 48, E: 23, O: 411
50, 7, -1.0 - C: 54, E: 25, O: 403
50, 7, 0.0 - C: 61, E: 25, O: 396
50, 7, 1.0 - C: 68, E: 22, O: 392
50, 7, 2.0 - C: 76, E: 23, O: 383
50, 8, -2.0 - C: 47, E: 23, O: 412
50, 8, -1.0 - C: 52, E: 24, O: 406
50, 8, 0.0 - C: 58, E: 24, O: 400
50, 8, 1.0 - C: 65, E: 21, O: 396
50, 8, 2.0 - C: 73, E: 22, O: 387
50, 9, -2.0 - C: 47, E: 22, O: 413
50, 9, -1.0 - C: 50, E: 23, O: 409
50, 9, 0.0 - C: 56, E: 24, O: 402
50, 9, 1.0 - C: 63, E: 21, O: 398
50, 9, 2.0 - C: 70, E: 22, O: 390
50, 10, -2.0 - C: 45, E: 21, O: 416
50, 10, -1.0 - C: 48, E: 22, O: 412
50, 10, 0.0 - C: 54, E: 23, O: 405
50, 10, 1.0 - C: 62, E: 20, O: 400
50, 10, 2.0 - C: 68, E: 22, O: 392
