Gene1        Gene2        Direction    Correlation  Distant?     Distance     
SP2          CTCF         0            0.83463      1            -1           
SP2          MXD3         0            0.81155      1            -1           
SP2          ARNT         -1           0.80861      1            -1           
SP2          NR1H3        0            0.76211      1            -1           
SP2          RARA         0            0.8321       1            7475245      
SP2          RARG         0            0.84478      1            -1           
SP2          THRA         0            0.86532      1            7754448      
SP2          NFATC3       -1           0.8472       1            -1           
SP2          NFATC4       0            0.78128      1            -1           
SP2          FOSB         0            0.84119      1            -1           
SP2          JUNB         1            0.76856      1            -1           
SP2          SMAD6        0            0.84126      1            -1           
SP2          FOXM1        0            0.75158      1            -1           
SP2          ATF7         0            0.89579      1            -1           
SP2          ZNF143       0            0.85268      1            -1           
SP2          STAT5A       -1           0.85695      1            5533951      
SP2          STAT5B       0            0.81602      1            5545091      
SP2          ELK4         0            0.82296      1            -1           
SP2          ERF          1            0.83554      1            -1           
SP2          DMBX1        0            0.84631      1            -1           
SP2          BRCA1        0            0.78263      1            4696047      
SP2          RFXANK       0            0.79568      1            -1           
SP2          CBFB         -1           0.89997      1            -1           
SP2          DEAF1        0            0.77906      1            -1           
SP2          GTF2IRD1     0            0.80212      1            -1           
SP2          SOX10        0            0.81819      1            -1           
SP2          XBP1         0            0.85781      1            -1           
SP2          TP53         0            0.78676      1            38382647     
SP2          ZNF589       -1           0.8747       1            -1           
SP2          STAT2        0            0.77048      1            -1           
SP2          STAT6        0            0.84095      1            -1           
SP2          PITX3        0            0.79895      1            -1           
SP2          PPARD        0            0.78698      1            -1           
SP2          DDIT3        0            0.8437       1            -1           
SP2          GLI1         0            0.86643      1            -1           
SP2          HOMEZ        -1           0.82998      1            -1           
SP2          ELF3         0            0.83368      1            -1           
SP2          ETV4         -1           0.80851      1            4350210      
SP2          FOXJ1        0            0.90993      1            28163865     
SP2          MEF2D        0            0.81926      1            -1           
SP2          ING4         0            0.7646       1            -1           
SP2          ZNF384       0            0.75269      1            -1           
SP3          IRF2         1            0.81593      1            -1           
SP3          ATF5         -1           0.77761      1            -1           
SP3          DLX2         0            0.79706      1            1861469      
SP3          DLX1         0            0.78764      1            1878740      
SP4          AIRE         -1           -0.75139     1            -1           
SP4          IRF1         -1           -0.77765     1            -1           
SP4          NEUROD1      0            -0.78617     1            -1           
SP4          EPAS1        -1           -0.8989      1            -1           
SP4          SMAD5        -1           -0.76228     1            -1           
SP4          RUNX1        0            -0.76537     1            -1           
SP4          SOX3         0            0.79937      1            -1           
SP4          ZIC3         0            0.80888      1            -1           
SP4          NKX6-2       -1           -0.81786     1            -1           
SREBF1       VDR          0            0.75736      1            -1           
SREBF1       STAT3        -1           0.76304      1            22800080     
SREBF1       CTCF         0            0.84545      1            -1           
SREBF1       SREBF2       -1           0.8386       1            -1           
SREBF1       RARA         0            0.774        1            20757945     
SREBF1       RARG         0            0.77445      1            -1           
SREBF1       THRA         0            0.77861      1            20478742     
SREBF1       NFATC3       -1           0.75213      1            -1           
SREBF1       ATF4         0            0.81896      1            -1           
SREBF1       ERF          0            0.87496      1            -1           
SREBF1       GTF2IRD1     0            0.81735      1            -1           
SREBF1       SOX10        0            0.7925       1            -1           
SREBF1       SOX18        0            0.75112      1            -1           
SREBF1       XBP1         0            0.76921      1            -1           
SREBF1       TP53         0            0.76576      1            10149457     
SREBF1       ZNF589       -1           0.76386      1            -1           
SREBF1       STAT2        0            0.85078      1            -1           
SREBF1       STAT6        0            0.81888      1            -1           
SREBF1       PPARD        0            0.75186      1            -1           
SREBF1       FOXJ1        0            0.81296      1            56397055     
SREBF1       PRRX2        0            0.78222      1            -1           
WT1          MNX1         -1           -0.80952     1            -1           
ZBTB7B       VDR          0            0.78106      1            -1           
ZBTB7B       NR1H3        0            0.76515      1            -1           
ZBTB7B       NFATC3       0            0.75466      1            -1           
ZBTB7B       ERF          1            0.75183      1            -1           
ZBTB7B       RFX5         0            0.75306      1            3671232      
ZBTB7B       CBFB         0            0.77233      1            -1           
ZFP42        SMAD1        -1           0.76568      1            42513974     
ZFP42        ETS2         0            -0.77921     1            -1           
ZFP42        ELK3         -1           -0.75963     1            -1           
ZNF148       IRF5         0            0.75276      1            -1           
ZNF148       MAZ          0            0.77216      1            -1           
ZNF148       PPARD        0            0.75939      1            -1           
ZNF148       HINFP        0            0.75486      1            -1           
ZNF148       FOXN1        0            0.85409      1            -1           
ZNF219       VDR          0            0.86807      1            -1           
ZNF219       CTCF         0            0.75379      1            -1           
ZNF219       USF1         1            0.86174      1            -1           
ZNF219       NR1I3        1            0.84308      1            -1           
ZNF219       CEBPB        0            0.77363      1            -1           
ZNF219       THRA         0            0.80896      1            -1           
