Gene1        Gene2        Direction    Correlation  Distant?     Distance     
CREB5        EHF          -1           -0.78108     1            -1           
CREB5        ONECUT2      -1           -0.83113     1            -1           
CREB5        ZIC3         1            0.75398      1            -1           
CREB5        LMX1B        -1           0.8122       1            -1           
CREB5        MECOM        0            -0.8034      1            -1           
EGR1         SP2          1            0.98481      1            -1           
EGR1         SREBF1       0            0.85509      1            -1           
EGR1         ZNF219       0            0.79442      1            -1           
EGR1         GATA1        0            0.80311      1            -1           
EGR1         IRF7         1            0.86789      1            -1           
EGR1         PRDM1        0            0.84437      1            -1           
EGR1         SPI1         1            0.94603      1            -1           
EGR1         TRIM28       1            0.77152      1            -1           
EGR1         GTF2I        1            0.81263      1            -1           
EGR1         NFIX         -1           0.79191      1            -1           
EGR1         VDR          0            0.77783      1            -1           
EGR1         STAT3        0            0.89977      1            -1           
EGR1         CTCF         0            0.94853      1            -1           
EGR1         ARID5B       1            -0.79179     1            -1           
EGR1         HAND1        0            0.89999      1            16056644     
EGR1         MXD3         -1           0.85391      1            38938112     
EGR1         MXI1         0            0.88257      1            -1           
EGR1         NHLH1        -1           0.91455      1            -1           
EGR1         TFE3         1            0.78675      1            -1           
EGR1         TFEB         -1           0.84152      1            -1           
EGR1         USF1         0            0.81585      1            -1           
EGR1         ARNT         -1           0.8356       1            -1           
EGR1         MZF1         1            0.78962      1            -1           
EGR1         NR1H3        0            0.79902      1            -1           
EGR1         NR1I3        1            0.87251      1            -1           
EGR1         RORA         1            0.79874      1            -1           
EGR1         TGIF1        1            0.92735      1            -1           
EGR1         CEBPB        -1           0.7514       1            -1           
EGR1         RARA         0            0.78876      1            -1           
EGR1         RARG         1            0.86633      1            -1           
EGR1         THRA         1            0.91009      1            -1           
EGR1         NFATC3       -1           0.81348      1            -1           
EGR1         ATF3         -1           0.88005      1            -1           
EGR1         FOS          0            0.81916      1            -1           
EGR1         FOSB         1            0.80004      1            -1           
EGR1         JUNB         1            0.77094      1            -1           
EGR1         ATF4         0            0.84205      1            -1           
EGR1         SMAD6        1            0.7678       1            -1           
EGR1         SMAD7        1            0.9504       1            -1           
EGR1         ATF6         1            -0.76208     1            -1           
EGR1         BCL6         1            -0.79325     1            -1           
EGR1         ATF7         0            0.94345      1            -1           
EGR1         ZNF143       1            0.91738      1            -1           
EGR1         BACH2        1            0.83951      1            -1           
EGR1         MAFG         1            0.79627      1            -1           
EGR1         HOXB1        -1           0.76766      1            -1           
EGR1         PAX6         1            0.852        1            -1           
EGR1         STAT5A       -1           0.97352      1            -1           
EGR1         STAT5B       0            0.83905      1            -1           
EGR1         TEF          0            0.794        1            -1           
EGR1         ELK4         -1           0.84823      1            -1           
EGR1         DMBX1        -1           0.94773      1            -1           
EGR1         RFXANK       1            0.82727      1            -1           
EGR1         CBFB         -1           0.8894       1            -1           
EGR1         DEAF1        1            0.85052      1            -1           
EGR1         RUNX1        1            -0.79987     1            -1           
EGR1         RUNX3        -1           0.78267      1            -1           
EGR1         GTF2IRD1     0            0.90811      1            -1           
EGR1         SOX10        0            0.83688      1            -1           
EGR1         SOX11        1            -0.75204     1            -1           
EGR1         SOX15        0            0.7828       1            -1           
EGR1         XBP1         1            0.8593       1            -1           
EGR1         TP53         0            0.81658      1            -1           
EGR1         ZNF589       -1           0.91727      1            -1           
EGR1         STAT6        0            0.81521      1            -1           
EGR1         PITX3        -1           0.77122      1            -1           
EGR1         MECP2        1            0.75722      1            -1           
EGR1         PPARD        -1           0.90577      1            -1           
EGR1         DDIT3        -1           0.94697      1            -1           
EGR1         GLI1         0            0.93356      1            -1           
