number of genes: 16598
number of nodes: 534
Overlap: 483
50, 5, 0.0 - C: 76, E: 16, O: 391
50, 5, 1.0 - C: 86, E: 14, O: 383
50, 5, 2.0 - C: 89, E: 12, O: 382
50, 6, -2.0 - C: 65, E: 17, O: 401
50, 6, -1.0 - C: 74, E: 14, O: 395
50, 6, 0.0 - C: 74, E: 16, O: 393
50, 6, 1.0 - C: 84, E: 14, O: 385
50, 6, 2.0 - C: 88, E: 12, O: 383
50, 7, -2.0 - C: 64, E: 17, O: 402
50, 7, -1.0 - C: 72, E: 14, O: 397
50, 7, 0.0 - C: 73, E: 16, O: 394
50, 7, 1.0 - C: 83, E: 14, O: 386
50, 7, 2.0 - C: 87, E: 12, O: 384
50, 8, -2.0 - C: 60, E: 17, O: 406
50, 8, -1.0 - C: 69, E: 14, O: 400
50, 8, 0.0 - C: 71, E: 16, O: 396
50, 8, 1.0 - C: 81, E: 14, O: 388
50, 8, 2.0 - C: 85, E: 12, O: 386
50, 9, -2.0 - C: 57, E: 17, O: 409
50, 9, -1.0 - C: 67, E: 14, O: 402
50, 9, 0.0 - C: 71, E: 16, O: 396
50, 9, 1.0 - C: 81, E: 13, O: 389
50, 9, 2.0 - C: 83, E: 12, O: 388
50, 10, -2.0 - C: 52, E: 15, O: 416
50, 10, -1.0 - C: 62, E: 12, O: 409
50, 10, 0.0 - C: 66, E: 14, O: 403
50, 10, 1.0 - C: 74, E: 10, O: 399
50, 10, 2.0 - C: 75, E: 11, O: 397
